patient_id,average_generation
CT-060,9.15
CT-083,11.45
CT-052,12.15
CT-015,12.3
CT-075,12.45
CT-055,12.55
CT-065,13.75
CT-179,13.9
CT-069,14.0
CT-138,14.0
CT-029,14.45
CT-087,14.45
CT-142,14.55
CT-159,14.8
CT-163,14.9
CT-025,14.95
CT-051,15.25
CT-090,15.35
CT-128,15.7
CT-104,15.75
CT-059,15.75
CT-105,15.95
CT-106,16.05
CT-024,16.15
CT-096,16.35
CT-164,16.5
CT-042,16.6
CT-097,16.65
CT-137,16.65
CT-107,16.75
CT-023,16.85
CT-158,16.85
CT-108,16.9
CT-121,16.95
CT-134,17.0
CT-119,17.05
CT-118,17.15
CT-127,17.2
CT-156,17.2
CT-073,17.2
CT-123,17.4
CT-177,17.7
CT-172,17.85
CT-098,17.9
CT-184,17.95
CT-175,18.05
CT-100,18.1
CT-126,18.1
CT-056,18.15
CT-133,18.3
CT-091,18.45
CT-165,18.5
CT-178,18.5
CT-160,18.55
CT-136,18.6
CT-049,18.65
CT-124,18.75
CT-125,18.8
CT-071,18.9
CT-154,18.95
CT-155,19.0
CT-117,19.05
CT-143,19.05
CT-086,19.15
CT-016,19.35
CT-129,19.35
CT-147,19.5
CT-041,19.55
CT-076,19.65
CT-120,19.65
CT-144,19.7
CT-150,19.8
CT-009,19.85
CT-109,19.9
CT-074,19.9
CT-167,19.95
CT-011,20.0
CT-131,20.0
CT-139,20.0
CT-084,20.1
CT-067,20.1
CT-140,20.2
CT-047,20.4
CT-054,20.4
CT-101,20.45
CT-151,20.45
CT-012,20.55
CT-174,20.75
CT-153,21.0
CT-115,21.75
CT-099,22.0
CT-176,22.0
CT-080,22.2
CT-111,22.3
CT-169,22.45
CT-053,22.75
CT-112,22.95
CT-146,23.25
CT-062,23.8
CT-102,26.4
